mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
52064,Promyelo#,34996-9,Promyelocytes [#/volume] in Body fluid,,Hospital laboratory analyte measured in Ascites: Promyelo#,34996-9,Promyelocytes [#/volume] in Body fluid,0.85,ok,Ascites is body fluid; # indicates count/volume
52065,"Total Nucleated Cells, Ascites",55793-4,Nucleated cells [#/volume] in Body fluid,,"Hospital laboratory analyte measured in Ascites: Total Nucleated Cells, Ascites",55793-4,Nucleated cells [#/volume] in Body fluid,0.85,ok,Ascites is a body fluid; total nucleated cell count matches
52066,Voided Specimen,,,"code-search returned no match for 'Hospital laboratory analyte measured in Ascites: Voided Specimen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Ascites: Voided Specimen,,,,no-match,
52067,Young#,,,"code-search returned no match for 'Hospital laboratory analyte measured in Ascites: Young#' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Ascites: Young#,,,,no-match,
52068,24 Hr,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: 24 Hr' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: 24 Hr,,,,no-match,
52069,Absolute Basophil Count,26444-0,Basophils [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute Basophil Count,26444-0,Basophils [#/volume] in Blood,0.85,ok,Absolute basophil count in blood; matches analyte and specimen
52070,Absolute CD19 Count,8116-6,CD19 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute CD19 Count,8116-6,CD19 cells [#/volume] in Blood,0.85,ok,Absolute CD19 count in blood; FSN matches exactly
52071,Absolute CD20 Count,9558-8,CD20 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute CD20 Count,9558-8,CD20 cells [#/volume] in Blood,0.85,ok,FSN matches absolute CD20 count in blood
52072,Absolute CD56 Count,14113-5,CD56 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute CD56 Count,14113-5,CD56 cells [#/volume] in Blood,0.85,ok,FSN Cells.CD56:NCnc:Pt:Bld:Qn matches absolute CD56 count in blood
52073,Absolute Eosinophil Count,711-2,Eosinophils [#/volume] in Blood by Automated count,,Hospital laboratory analyte measured in Blood: Absolute Eosinophil Count,711-2,Eosinophils [#/volume] in Blood by Automated count,0.85,ok,Absolute eosinophil count in blood; automated is standard method
52074,Absolute Monocyte Count,26484-6,Monocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute Monocyte Count,26484-6,Monocytes [#/volume] in Blood,0.85,ok,Absolute monocyte count = Monocytes NCnc in Blood; no method specified
52075,Absolute Neutrophil Count,26499-4,Neutrophils [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Absolute Neutrophil Count,26499-4,Neutrophils [#/volume] in Blood,0.85,ok,Absolute neutrophil count in blood; FSN matches
52076,Acid Phosphatase Stain,11020-5,Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain,,Hospital laboratory analyte measured in Blood: Acid Phosphatase Stain,11020-5,Microscopic observation [Identifier] in Blood or Marrow by Tartrate-resistant acid phosphatase stain,0.80,ok,Only acid phosphatase stain in Blood; tartrate-resistant is method specifier
52077,Acidserum,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Acidserum' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Acidserum,,,,no-match,
52078,Antithrombin III,,,"code-search proposed 3174-0 |Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method| at 0.75 for 'Hospital laboratory analyte measured in Blood: Antithrombin III', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Antithrombin III,3174-0,Antithrombin [Units/volume] in Platelet poor plasma by Chromogenic method,0.75,below-threshold,"Standard Antithrombin III activity assay; blood specimen, no exact 'in Blood' match"
52079,ASA Tol,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: ASA Tol' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: ASA Tol,,,,no-match,
52080,Asd,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Asd' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Asd,,,,no-match,
52081,ASD & NA-F,,,"code-search proposed 1852-3 |Androstenedione [Mass/volume] in Capillary blood| at 0.70 for 'Hospital laboratory analyte measured in Blood: ASD & NA-F', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: ASD & NA-F,1852-3,Androstenedione [Mass/volume] in Capillary blood,0.70,below-threshold,ASD = androstenedione; closest blood specimen match
52082,Aspirin Reactivity,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Aspirin Reactivity' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Aspirin Reactivity,,,,no-match,
52083,Autohem+g,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Autohem+g' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Autohem+g,,,,no-match,
52084,Autohem-g,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Autohem-g' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Autohem-g,,,,no-match,
52085,Bleed Tm,11067-6,Bleeding time,,Hospital laboratory analyte measured in Blood: Bleed Tm,11067-6,Bleeding time,0.85,ok,Bleed Tm = bleeding time; base code avoids unstated method
52086,Bleed Tm,11067-6,Bleeding time,,Hospital laboratory analyte measured in Blood: Bleed Tm,11067-6,Bleeding time,0.85,ok,Bleed Tm = bleeding time; base code avoids unstated method
52087,CD15/56,21012-0,CD15 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: CD15/56,21012-0,CD15 cells [#/volume] in Blood,0.85,ok,CD15 analyte measured in blood
52088,CD 1a,20476-8,CD1a cells/cells in Blood,,Hospital laboratory analyte measured in Blood: CD 1a,20476-8,CD1a cells/cells in Blood,0.85,ok,CD1a analyte measured in blood; FSN matches
52089,CD30,31074-8,CD30 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: CD30,31074-8,CD30 cells [#/volume] in Blood,0.80,ok,CD30 analyte measured in blood; count is the generic blood measurement
52090,CD42,29350-6,CD42 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: CD42,29350-6,CD42 cells [#/volume] in Blood,0.85,ok,CD42 analyte measured in Blood; matches analyte and specimen
52091,CD52,17172-8,CD52 cells/cells in Blood,,Hospital laboratory analyte measured in Blood: CD52,17172-8,CD52 cells/cells in Blood,0.85,ok,CD52 measured in Blood; matches analyte and specimen
52092,CD56 %,8133-1,CD56 cells/cells in Blood,,Hospital laboratory analyte measured in Blood: CD56 %,8133-1,CD56 cells/cells in Blood,0.85,ok,FSN matches CD56 % in blood; fraction/percent
52093,CD56 Absolute Count,14113-5,CD56 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: CD56 Absolute Count,14113-5,CD56 cells [#/volume] in Blood,0.85,ok,FSN matches CD56 absolute count in blood exactly
52094,CD61,21018-7,CD61 cells [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: CD61,21018-7,CD61 cells [#/volume] in Blood,0.85,ok,FSN matches CD61 analyte measured in blood; count in blood is the base measure
52095,CD62,,,"code-search proposed 32855-9 |CD62 cells/cells in Specimen| at 0.70 for 'Hospital laboratory analyte measured in Blood: CD62', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: CD62,32855-9,CD62 cells/cells in Specimen,0.70,below-threshold,Only generic CD62 code; specimen unspecified vs Blood
52096,Chloroacetate,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Chloroacetate' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Chloroacetate,,,,no-match,
52097,Circ Ab,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Circ Ab' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Circ Ab,,,,no-match,
52098,Clot Lysis,,,"code-search proposed 66745-1 |Clot Lysis [Length fraction] in Blood by Thromboelastography --30 minutes post maximum clot amplitude| at 0.75 for 'Hospital laboratory analyte measured in Blood: Clot Lysis', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Clot Lysis,66745-1,Clot Lysis [Length fraction] in Blood by Thromboelastography --30 minutes post maximum clot amplitude,0.75,below-threshold,Matches clot lysis analyte in blood; method/timing are LOINC structural details
52099,Clot Retraction,49008-6,Clot Retraction [Volume Fraction] in Blood,,Hospital laboratory analyte measured in Blood: Clot Retraction,49008-6,Clot Retraction [Volume Fraction] in Blood,0.85,ok,Base clot retraction in blood; others add unstated method/platelet specifier
52100,Clot Time,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Clot Time' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Clot Time,,,,no-match,
52101,Cr,38483-4,Creatinine [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Cr,38483-4,Creatinine [Mass/volume] in Blood,0.85,ok,Cr = creatinine; blood creatinine analyte matches
52102,Crenated Cells,104753-9,Burr cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Crenated Cells,104753-9,Burr cells [Presence] in Blood,0.85,ok,Crenated cells = burr cells; blood analyte matches
52103,Cross Imm,,,"code-search proposed 46715-9 |B cell crossmatch [Presence] in Blood| at 0.70 for 'Hospital laboratory analyte measured in Blood: Cross Imm', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Cross Imm,46715-9,B cell crossmatch [Presence] in Blood,0.70,below-threshold,Crossmatch analyte measured in Blood; closest match
52104,Cryoglob,78989-1,Cryoglobulin [Mass/volume] in Serum,,Hospital laboratory analyte measured in Blood: Cryoglob,78989-1,Cryoglobulin [Mass/volume] in Serum,0.80,ok,General cryoglobulin test; specimen Serum vs Blood minor mismatch
52105,Direct Antiplatelet Antibodies,24374-1,Platelet associated Ab [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Direct Antiplatelet Antibodies,24374-1,Platelet associated Ab [Presence] in Blood,0.85,ok,Direct antiplatelet antibodies = platelet-associated antibodies in blood; generic presence test matches
52106,Donath-l,18286-5,Donath Landsteiner Ab [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Donath-l,18286-5,Donath Landsteiner Ab [Presence] in Blood,0.95,ok,FSN matches Donath Landsteiner antibody in blood
52107,dRVVT - Confirmation,57838-5,dRVVT W excess phospholipid (LA confirm),,Hospital laboratory analyte measured in Blood: dRVVT - Confirmation,57838-5,dRVVT W excess phospholipid (LA confirm),0.85,ok,dRVVT confirmation test; synonym 'Confirm dRVVT' matches
52108,dRVVT - Normalized Ratio,97642-3,dRVVT/dRVVT.excess phospholipid [Ratio] normalized in Platelet poor plasma by Coagulation assay,,Hospital laboratory analyte measured in Blood: dRVVT - Normalized Ratio,97642-3,dRVVT/dRVVT.excess phospholipid [Ratio] normalized in Platelet poor plasma by Coagulation assay,0.85,ok,dRVVT normalized ratio; specimen qualifier (blood vs PPP) minor mismatch
52109,dRVVT - Screen,6303-2,dRVVT in Platelet poor plasma by Coagulation assay,,Hospital laboratory analyte measured in Blood: dRVVT - Screen,6303-2,dRVVT in Platelet poor plasma by Coagulation assay,0.85,ok,dRVVT screen test; FSN matches dRVVT screen concept
52110,DSmear,104701-8,Blood smear finding [Identifier] in Blood,,Hospital laboratory analyte measured in Blood: DSmear,104701-8,Blood smear finding [Identifier] in Blood,0.80,ok,Blood smear in blood; general match without unstated method
52111,Echinocytes,104753-9,Burr cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Echinocytes,104753-9,Burr cells [Presence] in Blood,0.85,ok,"Echinocytes = burr cells; measured in blood, no method specified"
52112,Euglobulin Lysis,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Euglobulin Lysis' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Euglobulin Lysis,,,,no-match,
52113,Factor IX Inhibitor,3185-6,Coagulation factor IX inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,,Hospital laboratory analyte measured in Blood: Factor IX Inhibitor,3185-6,Coagulation factor IX inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,0.85,ok,Factor IX inhibitor measured in blood; PPP is blood component
52114,Factor VIII Antigen,3215-1,Coagulation factor VIII Ag [Mass/volume] in Platelet poor plasma by Immunoassay,,Hospital laboratory analyte measured in Blood: Factor VIII Antigen,3215-1,Coagulation factor VIII Ag [Mass/volume] in Platelet poor plasma by Immunoassay,0.80,ok,Factor VIII Antigen measured in blood; PPP is blood-derived specimen
52115,Fibrinoge,97016-0,Fibrinogen [Mass/volume] in Blood by calculation,,Hospital laboratory analyte measured in Blood: Fibrinoge,97016-0,Fibrinogen [Mass/volume] in Blood by calculation,0.80,ok,Only Fibrinogen analyte measured in Blood; matches input
52116,Fibrinogen,97016-0,Fibrinogen [Mass/volume] in Blood by calculation,,Hospital laboratory analyte measured in Blood: Fibrinogen,97016-0,Fibrinogen [Mass/volume] in Blood by calculation,0.80,ok,Only Fibrinogen measured in Blood; method qualifier unstated
52117,"Fibrinogen, Immunologic",,,"code-search proposed 3256-5 |Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunoassay| at 0.70 for 'Hospital laboratory analyte measured in Blood: Fibrinogen, Immunologic', below the 0.8 threshold.","Hospital laboratory analyte measured in Blood: Fibrinogen, Immunologic",3256-5,Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunoassay,0.70,below-threshold,Immunologic fibrinogen assay; specimen PPP vs blood mismatch
52119,Fitzgerld,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Fitzgerld' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Fitzgerld,,,,no-match,
52120,Fitzgerld,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Fitzgerld' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Fitzgerld,,,,no-match,
52121,Fletcher,,,"code-search proposed 4669-8 |Prekallikrein (Fletcher Factor) [Mass/volume] in Platelet poor plasma| at 0.70 for 'Hospital laboratory analyte measured in Blood: Fletcher', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Fletcher,4669-8,Prekallikrein (Fletcher Factor) [Mass/volume] in Platelet poor plasma,0.70,below-threshold,"Fletcher = prekallikrein; generic quantitative assay, though specimen is PPP not whole blood"
52122,Fsp,29263-1,Fibrin degradation products [Presence] in Blood by Agglutination,,Hospital laboratory analyte measured in Blood: Fsp,29263-1,Fibrin degradation products [Presence] in Blood by Agglutination,0.90,ok,Fsp = fibrin split/degradation products in blood; method is structural detail
52123,"G6PD, Qualitative",,,"code-search proposed 33287-4 |Glucose-6-Phosphate dehydrogenase [Presence] in DBS| at 0.70 for 'Hospital laboratory analyte measured in Blood: G6PD, Qualitative', below the 0.8 threshold.","Hospital laboratory analyte measured in Blood: G6PD, Qualitative",33287-4,Glucose-6-Phosphate dehydrogenase [Presence] in DBS,0.70,below-threshold,"Qualitative G6PD in blood-derived specimen; closest to 'in Blood, Qualitative'"
52124,G6pd Spec,49502-8,Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in Blood,,Hospital laboratory analyte measured in Blood: G6pd Spec,49502-8,Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in Blood,0.85,ok,G6PD analyte measured in blood; matches specimen
52125,Glutathione,91685-8,Glutathione [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Glutathione,91685-8,Glutathione [Mass/volume] in Blood,0.85,ok,Glutathione analyte measured in Blood; matches input
52126,Heinz Aph,48068-1,Heinz bodies [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Heinz Aph,48068-1,Heinz bodies [Presence] in Blood,0.85,ok,FSN matches Heinz bodies in blood presence
52127,Helmet Cells,10374-7,Helmet cells [Presence] in Blood by Light microscopy,,Hospital laboratory analyte measured in Blood: Helmet Cells,10374-7,Helmet cells [Presence] in Blood by Light microscopy,0.95,ok,"FSN matches: Helmet cells analyte in Blood specimen, laboratory class"
52128,Hemoglobin H Inclusion,59185-9,Hemoglobin H inclusion bodies [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Hemoglobin H Inclusion,59185-9,Hemoglobin H inclusion bodies [Presence] in Blood,0.95,ok,FSN matches analyte and specimen exactly
52129,Hemoglobin Other,73984-7,Hemoglobin.other [Type] in Blood,,Hospital laboratory analyte measured in Blood: Hemoglobin Other,73984-7,Hemoglobin.other [Type] in Blood,0.85,ok,FSN matches 'Hemoglobin Other in Blood' exactly
52130,Histiocytes,,,"code-search proposed 44721-9 |Histiocytes [Presence] in Blood by Light microscopy| at 0.70 for 'Hospital laboratory analyte measured in Blood: Histiocytes', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Histiocytes,44721-9,Histiocytes [Presence] in Blood by Light microscopy,0.70,below-threshold,Only blood histiocyte analyte; adds method/scale qualifiers
52131,HIT-Ab Interpreted Result,,,"code-search proposed 73816-1 |Heparin induced platelet IgG Ab [Interpretation] in Serum Narrative| at 0.60 for 'Hospital laboratory analyte measured in Blood: HIT-Ab Interpreted Result', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: HIT-Ab Interpreted Result,73816-1,Heparin induced platelet IgG Ab [Interpretation] in Serum Narrative,0.60,below-threshold,Closest HIT-Ab interpretation result; IgG/Serum specifiers unstated in input
52132,HIT-Ab Numerical Result,45155-9,Heparin induced platelet Ab [Units/volume] in Serum,,Hospital laboratory analyte measured in Blood: HIT-Ab Numerical Result,45155-9,Heparin induced platelet Ab [Units/volume] in Serum,0.80,ok,HIT-Ab numerical (Qn) result; system Serum vs Blood minor mismatch
52133,Hmwk,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Hmwk' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Hmwk,,,,no-match,
52134,IG,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: IG' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: IG,,,,no-match,
52135,Immature Granulocytes,51584-1,Immature granulocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: Immature Granulocytes,51584-1,Immature granulocytes [#/volume] in Blood,0.85,ok,"Immature granulocytes in blood, no method specified"
52136,Inhibitor,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Inhibitor' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Inhibitor,,,,no-match,
52137,Inh Scr,70051-8,Multiple inhalant allergen IgE Ab [Presence] in Serum by Immunoassay,,Hospital laboratory analyte measured in Blood: Inh Scr,70051-8,Multiple inhalant allergen IgE Ab [Presence] in Serum by Immunoassay,0.80,ok,Inh Scr = inhalant screen; multiple inhalant allergen screen in blood/serum
52138,Kct,6298-4,Potassium [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Kct,6298-4,Potassium [Moles/volume] in Blood,0.85,ok,Kct = potassium; standard blood potassium analyte
52139,LE Prep,13507-9,Lupus erythematosus cells [Presence] in Blood,,Hospital laboratory analyte measured in Blood: LE Prep,13507-9,Lupus erythematosus cells [Presence] in Blood,0.85,ok,LE Prep = LE cell prep; FSN matches blood LE cells
52140,LS,,,"code-search proposed 3731-7 |Lysergate diethylamide [Mass/volume] in Serum or Plasma| at 0.70 for 'Hospital laboratory analyte measured in Blood: LS', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: LS,3731-7,Lysergate diethylamide [Mass/volume] in Serum or Plasma,0.70,below-threshold,LS maps to Lysergate diethylamide (LSD); measured in blood = Serum/Plasma quantitative
52141,Malaria Smear,32700-7,Microscopic observation [Identifier] in Blood by Malaria smear,,Hospital laboratory analyte measured in Blood: Malaria Smear,32700-7,Microscopic observation [Identifier] in Blood by Malaria smear,0.90,ok,FSN matches malaria smear in blood; thin smear oversteps
52142,Mean Platelet Volume,28542-9,Platelet [Entitic mean volume] in Blood,,Hospital laboratory analyte measured in Blood: Mean Platelet Volume,28542-9,Platelet [Entitic mean volume] in Blood,0.95,ok,FSN matches MPV in blood exactly
52143,Methemalb,2612-0,Methemalbumin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Methemalb,2612-0,Methemalbumin [Mass/volume] in Serum or Plasma,0.80,ok,Methemalbumin analyte matches; specimen Serum/Plasma vs Blood minor mismatch
52144,Methemoglobin,15082-1,Methemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Methemoglobin,15082-1,Methemoglobin [Mass/volume] in Blood,0.85,ok,Methemoglobin analyte measured in blood; direct match
52145,Mono Spot Test,69420-8,Heterophile Ab [Presence] in Blood by Immunoassay,,Hospital laboratory analyte measured in Blood: Mono Spot Test,69420-8,Heterophile Ab [Presence] in Blood by Immunoassay,0.85,ok,Mono Spot Test detects heterophile antibodies in blood; matches analyte and specimen
52146,Naphtol Acetate Stain,81426-9,Microscopic observation [Identifier] in Venous blood by Acetate esterase stain,,Hospital laboratory analyte measured in Blood: Naphtol Acetate Stain,81426-9,Microscopic observation [Identifier] in Venous blood by Acetate esterase stain,0.85,ok,Acetate esterase stain in blood matches Naphtol Acetate Stain in Blood
52147,NEUTX,26499-4,Neutrophils [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: NEUTX,26499-4,Neutrophils [#/volume] in Blood,0.85,ok,NEUTX is LOINC short name for neutrophil count in blood
52148,NEUTY,26499-4,Neutrophils [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: NEUTY,26499-4,Neutrophils [#/volume] in Blood,0.85,ok,NEUTY is LOINC short name for neutrophil count in blood; generic absolute count matches
52149,NFletcher,,,"code-search proposed 4669-8 |Prekallikrein (Fletcher Factor) [Mass/volume] in Platelet poor plasma| at 0.75 for 'Hospital laboratory analyte measured in Blood: NFletcher', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: NFletcher,4669-8,Prekallikrein (Fletcher Factor) [Mass/volume] in Platelet poor plasma,0.75,below-threshold,"Fletcher Factor = Prekallikrein; analyte matches, specimen is PPP not whole blood"
52150,Non-Specific Esterase,11016-3,Microscopic observation [Identifier] in Blood or Marrow by Esterase stain.non-specific,,Hospital laboratory analyte measured in Blood: Non-Specific Esterase,11016-3,Microscopic observation [Identifier] in Blood or Marrow by Esterase stain.non-specific,0.85,ok,Non-specific esterase measured in blood; matches analyte and specimen
52151,NRBC,30392-5,Nucleated erythrocytes [#/volume] in Blood,,Hospital laboratory analyte measured in Blood: NRBC,30392-5,Nucleated erythrocytes [#/volume] in Blood,0.90,ok,NRBC in blood; quantitative count is the standard test
52152,"Osmotic Fragility, Incubated",40740-3,Osmotic fragility of Red Blood Cells--Incubated,,"Hospital laboratory analyte measured in Blood: Osmotic Fragility, Incubated",40740-3,Osmotic fragility of Red Blood Cells--Incubated,0.90,ok,"FSN matches analyte, incubated, blood, quantitative"
52153,Other Inhibitor,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Other Inhibitor' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Other Inhibitor,,,,no-match,
52154,P2Y12 Reaction Units,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: P2Y12 Reaction Units' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: P2Y12 Reaction Units,,,,no-match,
52155,Periodic Acid Schiff Stain,9786-5,Microscopic observation [Identifier] in Blood or Marrow by Periodic acid-Schiff stain,,Hospital laboratory analyte measured in Blood: Periodic Acid Schiff Stain,9786-5,Microscopic observation [Identifier] in Blood or Marrow by Periodic acid-Schiff stain,0.85,ok,PAS stain in blood; includes marrow as minor extra
52156,Peroxidase Staining,11018-9,Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain,,Hospital laboratory analyte measured in Blood: Peroxidase Staining,11018-9,Microscopic observation [Identifier] in Blood or Marrow by Peroxidase stain,0.90,ok,FSN matches peroxidase stain in blood; analyte and specimen align
52157,Plasma Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Plasma Hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,0.85,ok,General hemoglobin analyte measured in blood; matches input
52158,Plasminogen,,,"code-search proposed 5970-9 |Plasminogen [Units/volume] in Platelet poor plasma by Chromogenic method| at 0.75 for 'Hospital laboratory analyte measured in Blood: Plasminogen', below the 0.8 threshold.",Hospital laboratory analyte measured in Blood: Plasminogen,5970-9,Plasminogen [Units/volume] in Platelet poor plasma by Chromogenic method,0.75,below-threshold,"Standard functional plasminogen assay; specimen PPP approximates blood, method unstated in input"
52159,Platelet Aggregation,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Platelet Aggregation' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Platelet Aggregation,,,,no-match,
52160,Prekallekrein,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Prekallekrein' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Prekallekrein,,,,no-match,
52161,Problem Specimen,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Problem Specimen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Problem Specimen,,,,no-match,
52162,Protein S,5892-5,Protein S [Units/volume] in Platelet poor plasma by Coagulation assay,,Hospital laboratory analyte measured in Blood: Protein S,5892-5,Protein S [Units/volume] in Platelet poor plasma by Coagulation assay,0.80,ok,Protein S analyte test; specimen PPP vs stated Blood is structural detail
52163,PT Control,5901-4,Prothrombin time (PT) in Platelet poor plasma from Control by Coagulation assay,,Hospital laboratory analyte measured in Blood: PT Control,5901-4,Prothrombin time (PT) in Platelet poor plasma from Control by Coagulation assay,0.85,ok,PT control analyte; base concept without factor substitution specifiers
52164,PT Mean,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,,Hospital laboratory analyte measured in Blood: PT Mean,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,0.85,ok,PT measured in blood; 'Mean' is uncoded qualifier
52165,PTT Control,12185-5,aPTT in Blood from Control by Coagulation assay,,Hospital laboratory analyte measured in Blood: PTT Control,12185-5,aPTT in Blood from Control by Coagulation assay,0.85,ok,"PTT Control in Blood; FSN matches analyte, specimen, and control"
52166,PTT-LA,34571-0,aPTT.lupus sensitive (LA screen),,Hospital laboratory analyte measured in Blood: PTT-LA,34571-0,aPTT.lupus sensitive (LA screen),0.85,ok,PTT-LA = lupus anticoagulant aPTT screen; FSN matches analyte
52167,PTT mea,3173-2,aPTT in Blood by Coagulation assay,,Hospital laboratory analyte measured in Blood: PTT mea,3173-2,aPTT in Blood by Coagulation assay,0.85,ok,PTT (aPTT) measured in blood; FSN matches analyte and specimen
52168,Pyruvate Kinase,11227-6,Pyruvate kinase [Presence] in Blood,,Hospital laboratory analyte measured in Blood: Pyruvate Kinase,11227-6,Pyruvate kinase [Presence] in Blood,0.80,ok,Analyte pyruvate kinase in Blood specimen; matches input
